2026-05-04 19:55:10 | INFO     | apm.main                  | APM Modular starting...
2026-05-04 19:55:10 | INFO     | apm.main                  | Device: adb_c2407b8a, Journey: instagram_feed_clips.json
2026-05-04 19:55:10 | INFO     | apm.device_manager        | [DEVICE] Connecting to device: c2407b8a...
2026-05-04 19:55:12 | INFO     | apm.device_manager        | [DEVICE] Connected successfully -- screen=1080x2400, window=1080x2400
2026-05-04 19:55:12 | INFO     | apm.executor              | [JOURNEY START] Instagram Feed to Clips Automation (device=c2407b8a)
2026-05-04 19:55:12 | INFO     | apm.device_manager        | [NETWORK] Collecting NVT measurements for c2407b8a...
2026-05-04 19:55:17 | INFO     | apm.device_manager        | [NETWORK] Collecting Journey measurements for c2407b8a...
2026-05-04 19:55:20 | INFO     | apm.executor              | [DETAIL 1/8] Launch Instagram
2026-05-04 19:55:20 | INFO     | apm.executor              | [TASK] Open Instagram (type=app_open, critical=True, timeout=30s)
2026-05-04 19:55:20 | INFO     | apm.SystemTaskHandler     | [APP] Opening app: com.instagram.android (activity=default)
2026-05-04 19:55:20 | INFO     | apm.device_manager        | [NETWORK] Collecting Journey measurements for c2407b8a...
2026-05-04 19:55:23 | INFO     | apm.executor              | [DETAIL 2/8] Navigate Feed â†’ Clips Tab
2026-05-04 19:55:23 | INFO     | apm.executor              | [TASK] Tap Feed Tab (type=within_ui, critical=True, timeout=5s)
2026-05-04 19:55:23 | INFO     | apm.UITaskHandler         | Action 'tap' completed on element: Feed Tab (success=True)
2026-05-04 19:55:23 | INFO     | apm.executor              | [TASK DONE] Tap Feed Tab -- response_time=3.315s
2026-05-04 19:55:23 | INFO     | apm.executor              | [TASK] Tap Clips/Reels Tab (type=within_ui, critical=True, timeout=5s)
2026-05-04 19:55:24 | INFO     | apm.UITaskHandler         | Action 'tap' completed on element: Clips/Reels Tab (success=True)
2026-05-04 19:55:24 | INFO     | apm.executor              | [TASK DONE] Tap Clips/Reels Tab -- response_time=0.496s
2026-05-04 19:55:24 | INFO     | apm.device_manager        | [NETWORK] Collecting Journey measurements for c2407b8a...
2026-05-04 19:55:28 | INFO     | apm.executor              | [DETAIL 3/8] Interact with Clips Screen
2026-05-04 19:55:28 | INFO     | apm.executor              | [TASK] Tap Center Screen (First) (type=tap_coords, critical=True, timeout=30s)
2026-05-04 19:55:28 | INFO     | apm.TapCoordsActionHandler | Tapping coordinates: (540, 679)
2026-05-04 19:55:28 | INFO     | apm.executor              | [TASK DONE] Tap Center Screen (First) -- response_time=4.094s
2026-05-04 19:55:28 | INFO     | apm.executor              | [TASK] Tap Center Screen (Second) (type=tap_coords, critical=True, timeout=30s)
2026-05-04 19:55:28 | INFO     | apm.TapCoordsActionHandler | Tapping coordinates: (540, 679)
2026-05-04 19:55:28 | INFO     | apm.executor              | [TASK DONE] Tap Center Screen (Second) -- response_time=0.2s
2026-05-04 19:55:28 | INFO     | apm.device_manager        | [NETWORK] Collecting Journey measurements for c2407b8a...
